,done
Self-driving cars,0
Quantum computers,0
Humanoid robots in everyday life,0
Majority of world population is atheist,0
"Diseases, Cancer, Alzheimer's, Parkinson's (1 of them)",0
"Universal translation for some animals (orcas, elephants, monkeys) (1 of them)",0
Revival of extinct species,0
Nano robots (self-replicating) for medicine,0
"Diseases, Cancer, Alzheimer's, Parkinson's (2 of them)",0
First man turns 150,1
World population reaches peak,0
Fusion,0
"1 person on Mars (base, as in Antarctica)",0
Permanent presence of at least 5000 people in space,0
End of the oil age,0
Energy weapons on warships,0
Cleaning robots (on human level with tidying up),0
10 hours from Frankfurt to Sydney,0
Mini atomic power plants,0
Net zero CO2,0
Carbon capture,1
End of capitalism in Europe,0
Work will no longer be necessary for the majority of the working-age (25 to 65) population,0
Universities will be abolished,0
World government,0
Asteroid mining,0
fusion,0.5
